元bagファイル名,作成したファイル名,開始フレーム,終了フレーム,開始時間,終了時間,時間,メモ(トンネル、橋など)
_2017-11-15-15-28-46_5_road1_0-1.bag,_2017-11-15-15-28-46_5_road1_0-1-1.bag,,,16:18:45,16:19:15,00:00:30,
,_2017-11-15-15-28-46_5_road1_0-1-2.bag,,,16:20:00,16:20:30,00:00:30,
